id,matzavbriut,k_gova,k_mishkal,k_safaikarit,labour_force_participation,gilGroup,MeanIncomeGroup,hashavani,chipesshana,teudagvoha,k_shnlimklali,k_sug_mosad,m_eretz,mazav,mamadavoda,mekabelsachar,min,semelmishlach,safanosefetanglit,k_semelmiktzlim,incomeGroupUp,future_hour_income
13670002,Good,174_170,89_85,Other,TRUE,66-70,25628,Never,nan,Post_secondaryschooldiploma_non_academictrack_,11_12,nan,Euorope_America,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,no,nan,FALSE,0
30360002,VeryGood,179_175,94_90,Hebrew,TRUE,41-45,11576,Rarely,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,TeachingStudiCollege,Israel,Married,Employed,OtherSource,Female,AcademicPreffesionals,no,business,FALSE,100
45180002,VeryGood,174_170,54_50,Hebrew,TRUE,22-25,5640,Never,nan,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Israel,Nevermarried,Employed,FromWorkingPlace,Female,Techniciansandassociateprofessionals,yes,nan,FALSE,6.944444444
31450001,VeryGood,174_170,74_70,Hebrew,TRUE,26-30,5640,Never,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,TeachingStudiCollege,Israel,Nevermarried,Employed,OtherSource,Female,AcademicPreffesionals,yes,Generalprogrammes,TRUE,40
36140002,VeryGood,164_160,64_60,Hebrew,TRUE,26-30,11576,Rarely,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,Univercities,Africa,Married,Employed,FromWorkingPlace,Female,AcademicPreffesionals,yes,nan,FALSE,0
8410002,Good,179_175,nan,Hebrew,TRUE,41-45,25628,Sometimes,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,nan,Israel,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,nan,FALSE,98.03921569
6570002,Good,164_160,nan,Hebrew,TRUE,56-60,11576,YesUsually,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,nan,Euorope_America,Married,Employed,FromWorkingPlace,Female,Techniciansandassociateprofessionals,no,nan,FALSE,70.67857143
48470001,Good,174_170,69_65,Russian,FALSE,71-75,7,Rarely,no,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,nan,Nevermarried,nan,nan,Male,nan,no,nan,FALSE,0
33450002,NotsoGood,169_165,74_70,Russian,TRUE,41-45,5640,Rarely,nan,Post_secondaryschooldiploma_non_academictrack_,13_15,nan,Euorope_America,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,no,nan,FALSE,33.69565217
5920001,NotsoGood,164_160,59_55,Hebrew,FALSE,51-55,7,Rarely,no,Primaryschoolorintermediateschooldiploma,11_12,nan,Israel,Married,nan,nan,Female,nan,no,nan,FALSE,0
39250002,VeryGood,169_165,74_70,Hebrew,TRUE,,1922,nan,nan,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Euorope_America,Nevermarried,Employed,FromWorkingPlace,Female,nan,yes,nan,TRUE,26.92307692
16130001,VeryGood,179_175,69_65,Hebrew,FALSE,41-45,25628,Never,nan,Thirdacademicdegree_Ph_D_orsimilardegree_,16andmore,Univercities,Israel,Married,Employed,OtherSource,Male,AcademicPreffesionals,no,Teachertrainingandeducationscience,FALSE,98.03333333
32640006,Good,nan,74_70,Arabic,FALSE,36-40,7,Never,no,Nodiplomaordegree,9_10,nan,Israel,Married,nan,nan,Female,nan,no,nan,FALSE,0
26320001,Good,179_175,nan,Hebrew,FALSE,56-60,7,Never,nan,Firstacademicdegree_BAorsimilardegree_,13_15,Univercities,Israel,Divorced,nan,nan,Male,nan,yes,business,FALSE,0
44650002,VeryGood,159_155,nan,Hebrew,FALSE,61-65,7,Never,no,Secondaryschooldiploma?€“matriculationcertificate,16andmore,nan,Africa,Married,nan,nan,Female,nan,yes,nan,FALSE,0
4730001,VeryGood,169_165,59_55,Hebrew,TRUE,31-35,7,Never,nan,Firstacademicdegree_BAorsimilardegree_,11_12,Univercities,Africa,Married,Employed,FromWorkingPlace,Male,Techniciansandassociateprofessionals,yes,Teachertrainingandeducationscience,TRUE,49.41860465
18420002,VeryGood,179_175,64_60,Hebrew,TRUE,31-35,7777,YesUsually,nan,Secondaryschooldiploma?€“matriculationcertificate,13_15,Univercities,Israel,Married,Employed,FromWorkingPlace,Female,Managers,yes,business,FALSE,42.5
46040001,Good,159_155,69_65,Hebrew,FALSE,66-70,7,Never,no,Primaryschoolorintermediateschooldiploma,16andmore,nan,Africa,Nevermarried,nan,nan,Female,nan,yes,nan,FALSE,0
34460004,VeryGood,164_160,59_55,Other,FALSE,36-40,7777,Never,nan,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Euorope_America,Nevermarried,nan,nan,Female,nan,yes,nan,TRUE,48.20525956
34390001,NotsoGood,179_175,74_70,Russian,FALSE,36-40,7,YesUsually,no,Primaryschoolorintermediateschooldiploma,5_8,nan,Euorope_America,Married,nan,nan,Male,nan,no,nan,FALSE,0
46740002,VeryGood,154_150,upto44,Hebrew,FALSE,61-65,7,Never,no,Nodiplomaordegree,5_8,nan,Africa,Married,nan,nan,Female,nan,no,nan,FALSE,0
27660002,Good,174_170,119_115,Hebrew,TRUE,51-55,4039,Never,nan,Nodiplomaordegree,11_12,nan,Israel,Married,Employed,FromWorkingPlace,Male,nan,yes,nan,FALSE,0
40870002,Good,174_170,nan,English,FALSE,56-60,1922,Rarely,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,nan,Euorope_America,Married,nan,nan,Female,nan,no,Arts,FALSE,0
38230002,Good,174_170,104_100,Russian,FALSE,51-55,1922,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,13_15,nan,Euorope_America,Married,nan,nan,Female,nan,no,Socialsciences,FALSE,0
11620001,Good,nan,nan,Hebrew,TRUE,41-45,11576,Never,nan,Thirdacademicdegree_Ph_D_orsimilardegree_,16andmore,Univercities,Israel,Divorced,Employed,OtherSource,Male,AcademicPreffesionals,yes,Agriculture,FALSE,142.8571429
32410004,VeryGood,164_160,59_55,Arabic,FALSE,22-25,7,Never,no,Nodiplomaordegree,9_10,nan,Israel,Married,nan,nan,Female,nan,no,nan,FALSE,0
35570001,VeryGood,nan,74_70,Hebrew,TRUE,22-25,4039,Rarely,nan,Secondaryschooldiploma?€“matriculationcertificate,11_12,nan,Israel,Nevermarried,Employed,FromWorkingPlace,Male,nan,yes,nan,TRUE,36.11111111
13690001,Good,174_170,64_60,Hebrew,FALSE,76-80,7,Sometimes,no,Nodiplomaordegree,5_8,nan,Euorope_America,Married,nan,nan,Male,nan,no,nan,FALSE,0
4780001,VeryGood,164_160,69_65,Hebrew,TRUE,41-45,5640,Sometimes,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Euorope_America,Married,SelfEmployed,nan,Female,Techniciansandassociateprofessionals,yes,nan,FALSE,41.66666667
7680001,VeryGood,169_165,74_70,Hebrew,FALSE,31-35,5640,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,Univercities,Euorope_America,Married,Employed,FromWorkingPlace,Female,Managers,yes,business,TRUE,50
17700001,VeryGood,159_155,54_50,Hebrew,TRUE,36-40,25628,Never,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,AcademidColleges,Israel,Married,Employed,FromWorkingPlace,Female,Techniciansandassociateprofessionals,yes,business,FALSE,183.3333333
45040001,VeryGood,nan,nan,Hebrew,TRUE,56-60,7777,Never,nan,Post_secondaryschooldiploma_non_academictrack_,16andmore,nan,Israel,Divorced,SelfEmployed,nan,Male,AcademicPreffesionals,no,nan,TRUE,72.91666667
5130001,Good,159_155,54_50,Hebrew,FALSE,71-75,7,Never,no,Firstacademicdegree_BAorsimilardegree_,16andmore,nan,Euorope_America,Married,nan,nan,Female,nan,yes,Socialsciences,FALSE,0
27360003,NotGoodatAll,179_175,64_60,Arabic,FALSE,51-55,7,YesUsually,no,Nodiplomaordegree,0_5_4,nan,Israel,Married,nan,nan,Female,nan,no,nan,FALSE,0
47390001,NotsoGood,164_160,nan,Russian,TRUE,56-60,25628,Rarely,nan,Secondacademicdegree_MAorsimilardegree_incl_medicaldoctor_,16andmore,nan,Euorope_America,Divorced,Employed,FromWorkingPlace,Female,AcademicPreffesionals,yes,nan,FALSE,138.8888889
17510001,VeryGood,174_170,69_65,Hebrew,TRUE,36-40,11576,Rarely,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,Univercities,Israel,Married,Employed,FromWorkingPlace,Female,Techniciansandassociateprofessionals,yes,Socialsciences,FALSE,61.11111111
38580001,Good,169_165,59_55,Hebrew,TRUE,51-55,4039,Rarely,nan,Firstacademicdegree_BAorsimilardegree_,16andmore,nan,Euorope_America,Divorced,Employed,FromWorkingPlace,Female,Managers,yes,Socialsciences,FALSE,0
